2020.06.24 19:01:35 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
2020.06.24 19:01:38 WARN  no build tool detected in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.24 19:01:38 WARN  no build tool detected in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.24 19:01:38 WARN  no build tool detected in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.24 19:01:38 WARN  no build tool detected in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.24 19:01:40 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
2020.06.24 19:02:20 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
2020.06.24 19:02:21 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
2020.06.24 19:05:01 WARN  no build tool detected in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.24 19:05:01 WARN  no build tool detected in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.24 19:09:26 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
2020.06.24 19:09:27 WARN  no build tool detected in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.24 19:09:27 WARN  no build tool detected in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.24 19:09:27 WARN  no build tool detected in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.24 19:09:27 WARN  no build tool detected in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.24 19:09:29 WARN  no build tool detected in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.24 19:09:29 WARN  no build tool detected in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.24 19:09:31 WARN  no build tool detected in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.24 19:09:31 WARN  no build tool detected in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.24 19:09:33 WARN  no build tool detected in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.24 19:09:33 WARN  no build tool detected in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.24 19:09:33 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
2020.06.24 19:09:46 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
2020.06.24 19:09:46 WARN  no build tool detected in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.24 19:16:19 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
2020.06.24 19:16:31 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
2020.06.24 19:17:53 WARN  no build tool detected in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.24 19:17:59 WARN  no build tool detected in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.24 19:17:59 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
2020.06.24 19:18:11 WARN  no build tool detected in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.24 19:18:11 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
2020.06.24 19:20:48 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
2020.06.24 19:20:48 WARN  no build tool detected in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.24 19:21:05 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
